ticker,n_total,rank,percentile,boot_lower_95,boot_upper_95,mw_p,mw_effect,null_p_le_observed
HRC,12,6,54.5,3.0,9.0,0.997,-0.104,0.511
LEH,13,1,100.0,1.0,1.0,5.05e-22,0.185,0.064
TYC,13,6,58.3,3.0,9.0,0.64,-0.013,0.459
VRX,13,8,41.7,5.0,11.0,1,-0.152,0.602
WCOM,13,12,8.3,10.0,13.0,1,-0.141,0.937
